435.668, 4.37996, 268.569,
435.675, 4.38003, 268.584,
435.681, 4.38009, 268.599,
435.687, 4.38015, 268.613,
435.692, 4.38021, 268.627,
435.698, 4.38026, 268.639,
435.702, 4.3803, 268.65,
435.707, 4.38035, 268.661,
435.711, 4.38039, 268.671,
435.714, 4.38043, 268.68,
435.718, 4.38046, 268.689,
435.721, 4.38049, 268.696,
435.724, 4.38052, 268.703,
435.727, 4.38055, 268.71,
435.729, 4.38058, 268.715,
435.732, 4.3806, 268.72,
435.734, 4.38062, 268.724,
435.736, 4.38064, 268.728,
435.738, 4.38066, 268.731,
435.739, 4.38068, 268.734,
435.741, 4.38069, 268.736,
435.743, 4.38071, 268.738,
435.744, 4.38073, 268.739,
435.745, 4.38074, 268.74,
435.747, 4.38075, 268.74,
435.748, 4.38077, 268.74,
435.749, 4.38078, 268.74,
435.751, 4.38079, 268.739,
435.752, 4.3808, 268.738,
435.753, 4.38082, 268.736,
435.754, 4.38083, 268.734,
435.756, 4.38084, 268.733,
435.757, 4.38086, 268.73,
435.758, 4.38087, 268.728,
435.76, 4.38088, 268.725,
435.761, 4.3809, 268.723,
435.763, 4.38091, 268.72,
435.765, 4.38093, 268.717,
435.766, 4.38095, 268.714,
435.768, 4.38097, 268.711,
435.77, 4.38098, 268.708,
435.772, 4.381, 268.705,
435.774, 4.38103, 268.702,
435.776, 4.38105, 268.699,
435.778, 4.38107, 268.696,
435.781, 4.38109, 268.693,
435.783, 4.38112, 268.69,
435.786, 4.38115, 268.688,
435.789, 4.38118, 268.685,
435.792, 4.38121, 268.683,
435.795, 4.38124, 268.681,
435.798, 4.38127, 268.679,
435.802, 4.3813, 268.677,
435.805, 4.38134, 268.676,
435.809, 4.38138, 268.675,
435.813, 4.38142, 268.675,
435.817, 4.38146, 268.674,
435.821, 4.3815, 268.674,
435.826, 4.38154, 268.675,
435.83, 4.38159, 268.675,
435.835, 4.38164, 268.677,
435.84, 4.38169, 268.678,
435.845, 4.38174, 268.68,
435.85, 4.38179, 268.683,
435.855, 4.38185, 268.686,
435.861, 4.3819, 268.69,
435.867, 4.38196, 268.694,
435.873, 4.38202, 268.698,
435.879, 4.38208, 268.703,
435.885, 4.38214, 268.709,
435.892, 4.38221, 268.716,
435.898, 4.38228, 268.723,
435.905, 4.38235, 268.73,
435.912, 4.38242, 268.738,
435.919, 4.38249, 268.747,
435.927, 4.38256, 268.757,
435.934, 4.38264, 268.767,
435.942, 4.38272, 268.777,
435.95, 4.3828, 268.789,
435.958, 4.38288, 268.801,
435.966, 4.38296, 268.814,
435.975, 4.38305, 268.828,
435.983, 4.38313, 268.842,
435.992, 4.38322, 268.857,
436.001, 4.38331, 268.873,
436.01, 4.3834, 268.89,
436.02, 4.3835, 268.907,
436.029, 4.38359, 268.925,
436.039, 4.38369, 268.944,
436.049, 4.38379, 268.964,
436.058, 4.38389, 268.984,
436.069, 4.38399, 269.006,
436.079, 4.38409, 269.028,
436.089, 4.3842, 269.051,
436.1, 4.3843, 269.074,
436.111, 4.38441, 269.099,
436.122, 4.38452, 269.124,
436.133, 4.38463, 269.15,
436.144, 4.38474, 269.177,
436.155, 4.38486, 269.205,
436.167, 4.38497, 269.233,
436.178, 4.38509, 269.262,
436.19, 4.38521, 269.292,
436.202, 4.38533, 269.323,
436.214, 4.38545, 269.355,
436.226, 4.38557, 269.388,
436.239, 4.3857, 269.421,
436.251, 4.38582, 269.455,
436.264, 4.38595, 269.49,
436.276, 4.38608, 269.526,
436.289, 4.38621, 269.562,
436.302, 4.38634, 269.599,
436.315, 4.38647, 269.637,
436.328, 4.3866, 269.676,
436.342, 4.38673, 269.715,
436.355, 4.38687, 269.756,
436.369, 4.387, 269.797,
436.382, 4.38714, 269.838,
436.396, 4.38728, 269.881,
436.41, 4.38742, 269.924,
436.424, 4.38756, 269.968,
436.438, 4.3877, 270.012,
436.452, 4.38784, 270.058,
436.466, 4.38798, 270.103,
436.48, 4.38813, 270.15,
436.494, 4.38827, 270.197,
436.509, 4.38841, 270.245,
436.523, 4.38856, 270.293,
436.538, 4.38871, 270.342,
436.553, 4.38885, 270.392,
436.567, 4.389, 270.442,
436.582, 4.38915, 270.493,
436.597, 4.3893, 270.544,
